datetime,city,pm25,pm10,no2,co,o3,so2,traffic_volume,avg_speed_kmph,congestion_level,incident_flag,temperature,humidity,wind_speed,precipitation
2020-01-01 00:00:00,Bapuji Nagar - Bangalore,100.63,157.09,37.45,0.73,20.88,8.6,99,48,0.32,0,22.5,68,3.0,7.8
2020-01-01 06:00:00,Bapuji Nagar - Bangalore,129.63,183.15,70.33,0.92,24.24,5.73,215,34,0.66,0,21.1,61,1.1,0.2
2020-01-01 12:00:00,Bapuji Nagar - Bangalore,87.75,129.29,46.99,0.89,25.73,6.83,150,42,0.25,0,26.8,42,10.5,6.8
2020-01-01 18:00:00,Bapuji Nagar - Bangalore,85.12,129.25,62.09,0.89,24.12,9.1,192,36,0.43,0,15.7,53,5.3,1.8
2020-01-02 00:00:00,Bapuji Nagar - Bangalore,61.25,88.8,37.22,0.74,29.45,12.79,103,47,0.41,0,22.8,57,6.9,5.9
2020-01-02 06:00:00,Bapuji Nagar - Bangalore,73.27,108.42,57.67,0.87,29.66,14.07,216,34,0.85,0,30.4,44,11.2,6.5
2020-01-02 12:00:00,Bapuji Nagar - Bangalore,58.41,100.13,35.7,0.83,26.44,9.1,144,42,0.77,0,32.7,40,5.2,9.7
2020-01-02 18:00:00,Bapuji Nagar - Bangalore,64.58,92.86,63.58,0.91,20.25,11.54,195,36,0.51,0,21.3,71,8.7,1.4
2020-01-03 00:00:00,Bapuji Nagar - Bangalore,62.06,81.38,42.08,0.72,25.03,9.3,103,47,0.44,0,32.9,50,4.6,1.2
2020-01-03 06:00:00,Bapuji Nagar - Bangalore,97.45,147.58,63.69,0.92,12.81,9.92,212,34,0.91,0,23.3,76,8.6,2.7
2020-01-03 12:00:00,Bapuji Nagar - Bangalore,78.47,120.12,53.63,0.78,30.11,12.26,169,39,0.24,0,20.7,56,3.9,9.8
2020-01-03 18:00:00,Bapuji Nagar - Bangalore,72.73,112.12,68.47,0.89,20.22,12.57,194,36,0.5,0,19.8,77,5.0,6.3
2020-01-04 00:00:00,Bapuji Nagar - Bangalore,61.9,91.56,35.06,0.63,21.72,11.67,85,49,0.33,0,19.4,65,6.6,2.3
2020-01-04 06:00:00,Bapuji Nagar - Bangalore,69.82,114.26,67.5,0.87,26.59,13.65,205,35,0.38,0,28.2,65,11.8,5.2
2020-01-04 12:00:00,Bapuji Nagar - Bangalore,60.59,81.15,59.45,0.91,28.97,7.14,171,39,0.21,0,16.7,47,9.6,6.7
2020-01-04 18:00:00,Bapuji Nagar - Bangalore,70.62,107.1,52.35,0.85,28.39,9.28,196,36,0.84,0,19.7,60,3.0,3.7
2020-01-05 00:00:00,Bapuji Nagar - Bangalore,48.11,79.99,38.81,0.68,22.08,12.22,93,48,0.57,0,27.6,73,4.9,6.5
2020-01-05 06:00:00,Bapuji Nagar - Bangalore,76.71,110.96,66.95,0.94,25.75,15.29,217,33,0.49,0,34.3,74,11.8,0.8
2020-01-05 12:00:00,Bapuji Nagar - Bangalore,75.51,127.5,50.27,0.75,26.18,5.69,168,39,0.42,0,16.9,71,8.4,3.6
2020-01-05 18:00:00,Bapuji Nagar - Bangalore,65.12,94.41,67.25,0.84,20.83,8.63,189,37,0.25,0,16.6,46,6.5,8.0
2020-01-06 00:00:00,Bapuji Nagar - Bangalore,52.08,81.53,36.89,0.73,23.66,11.56,98,48,0.23,0,34.6,61,7.5,0.3
2020-01-06 06:00:00,Bapuji Nagar - Bangalore,80.1,116.26,70.16,0.9,19.24,8.27,211,34,0.3,0,31.8,71,6.8,5.4
2020-01-06 12:00:00,Bapuji Nagar - Bangalore,89.74,137.85,47.1,0.88,35.81,13.1,167,39,0.32,0,16.6,48,8.6,0.6
2020-01-06 18:00:00,Bapuji Nagar - Bangalore,93.46,146.39,57.37,0.92,8.69,6.93,210,34,0.21,0,23.4,51,7.2,1.6
2020-01-07 00:00:00,Bapuji Nagar - Bangalore,81.43,110.66,45.82,0.7,18.19,11.39,100,48,0.68,1,18.5,69,8.1,0.5
2020-01-07 06:00:00,Bapuji Nagar - Bangalore,103.04,156.2,65.41,0.95,31.59,11.34,215,34,0.8,0,16.4,41,1.3,5.9
2020-01-07 12:00:00,Bapuji Nagar - Bangalore,102.27,155.07,55.42,0.79,18.69,8.93,155,41,0.21,0,28.0,82,3.2,0.7
2020-01-07 18:00:00,Bapuji Nagar - Bangalore,96.51,139.08,53.66,0.86,18.25,13.49,213,34,0.8,0,28.9,84,11.3,0.4
2020-01-08 00:00:00,Bapuji Nagar - Bangalore,70.28,112.86,37.58,0.75,21.2,12.56,101,47,0.77,0,33.6,76,3.6,6.8
2020-01-08 06:00:00,Bapuji Nagar - Bangalore,97.68,155.04,54.24,0.91,28.02,6.41,216,34,0.91,0,15.2,80,10.3,3.5
2020-01-08 12:00:00,Bapuji Nagar - Bangalore,80.74,135.27,50.85,0.86,26.87,14.07,162,40,0.57,0,30.0,62,9.6,1.1
2020-01-08 18:00:00,Bapuji Nagar - Bangalore,89.97,131.14,56.08,0.96,15.21,14.71,197,36,0.82,0,17.0,46,5.7,2.2
2020-01-09 00:00:00,Bapuji Nagar - Bangalore,77.47,122.37,41.66,0.7,14.97,7.47,96,48,0.55,0,33.1,78,5.8,2.5
2020-01-09 06:00:00,Bapuji Nagar - Bangalore,89.68,142.38,62.57,0.9,33.68,11.22,201,35,0.93,1,32.4,77,5.8,8.0
2020-01-09 12:00:00,Bapuji Nagar - Bangalore,61.0,99.3,41.54,0.83,22.21,5.93,144,42,0.88,1,28.9,70,12.0,7.0
2020-01-09 18:00:00,Bapuji Nagar - Bangalore,64.72,99.97,61.26,0.93,24.81,14.43,192,36,0.94,0,22.1,89,3.9,3.6
2020-01-10 00:00:00,Bapuji Nagar - Bangalore,54.99,82.38,47.06,0.67,28.87,8.87,101,47,0.51,0,23.4,69,10.5,0.5
2020-01-10 06:00:00,Bapuji Nagar - Bangalore,84.22,141.63,59.4,0.89,30.78,11.8,189,37,0.21,0,26.4,72,6.2,4.1
2020-01-10 12:00:00,Bapuji Nagar - Bangalore,83.91,123.8,33.61,0.8,21.61,12.68,155,41,0.39,0,30.1,58,3.7,4.5
2020-01-10 18:00:00,Bapuji Nagar - Bangalore,76.29,111.32,68.35,0.95,22.87,12.41,213,34,0.64,0,31.3,83,7.2,8.8
2020-01-11 00:00:00,Bapuji Nagar - Bangalore,50.69,91.72,39.68,0.74,30.63,10.68,105,47,0.27,0,34.6,89,7.5,3.9
2020-01-11 06:00:00,Bapuji Nagar - Bangalore,66.75,109.78,65.08,0.86,27.53,3.81,216,34,0.25,0,30.9,49,11.2,4.9
2020-01-11 12:00:00,Bapuji Nagar - Bangalore,84.54,124.93,52.14,0.8,17.67,11.51,149,42,0.34,0,24.2,55,2.7,1.4
2020-01-11 18:00:00,Bapuji Nagar - Bangalore,96.73,142.8,59.93,0.88,21.17,9.18,209,34,0.61,0,31.4,57,4.1,1.8
2020-01-12 00:00:00,Bapuji Nagar - Bangalore,69.85,110.83,36.15,0.66,22.52,3.09,94,48,0.25,0,24.6,61,1.9,8.7
2020-01-12 06:00:00,Bapuji Nagar - Bangalore,89.52,136.77,78.19,0.98,23.16,7.13,214,34,0.23,0,27.4,62,6.8,7.2
2020-01-12 12:00:00,Bapuji Nagar - Bangalore,80.76,112.48,62.24,0.88,24.56,14.44,169,39,0.22,0,25.7,54,2.2,7.4
2020-01-12 18:00:00,Bapuji Nagar - Bangalore,66.58,88.81,63.83,0.99,14.41,11.69,196,36,0.52,0,16.7,86,9.1,5.6
2020-01-13 00:00:00,Bapuji Nagar - Bangalore,55.82,77.08,42.95,0.71,24.31,7.28,108,47,0.34,0,17.0,45,5.0,4.9
2020-01-13 06:00:00,Bapuji Nagar - Bangalore,83.3,130.96,55.25,0.96,22.39,11.71,218,33,0.33,0,34.4,43,1.1,9.8
2020-01-13 12:00:00,Bapuji Nagar - Bangalore,77.85,103.48,50.27,0.75,20.94,10.14,153,41,0.29,0,21.5,58,3.2,7.4
2020-01-13 18:00:00,Bapuji Nagar - Bangalore,75.06,103.56,60.65,0.95,12.74,7.61,190,37,0.44,0,21.7,49,7.0,5.5
2020-01-14 00:00:00,Bapuji Nagar - Bangalore,42.15,61.98,45.04,0.7,22.89,8.76,96,48,0.29,0,22.0,88,10.4,7.5
2020-01-14 06:00:00,Bapuji Nagar - Bangalore,79.48,116.62,67.41,0.89,12.91,6.98,207,35,0.7,0,19.0,69,10.1,1.9
2020-01-14 12:00:00,Bapuji Nagar - Bangalore,75.36,95.35,49.58,0.82,14.91,13.43,142,42,0.37,0,24.3,77,6.9,4.4
2020-01-14 18:00:00,Bapuji Nagar - Bangalore,66.99,93.69,67.75,0.89,24.96,8.57,218,33,0.87,0,17.8,54,10.7,5.0
2020-01-15 00:00:00,Bapuji Nagar - Bangalore,50.86,72.74,36.46,0.66,29.92,12.92,93,48,0.83,0,30.2,49,4.8,8.2
2020-01-15 06:00:00,Bapuji Nagar - Bangalore,78.83,112.81,50.2,0.86,26.31,10.64,193,36,0.82,0,27.8,75,7.0,2.5
2020-01-15 12:00:00,Bapuji Nagar - Bangalore,82.63,134.37,50.66,0.81,26.39,8.83,169,39,0.64,0,17.8,57,7.7,0.2
2020-01-15 18:00:00,Bapuji Nagar - Bangalore,84.18,107.7,60.65,0.95,28.45,7.54,209,34,0.45,0,21.6,79,7.7,3.8
2020-01-16 00:00:00,Bapuji Nagar - Bangalore,63.78,94.41,45.4,0.61,16.71,11.55,100,48,0.33,0,24.0,82,1.4,9.1
2020-01-16 06:00:00,Bapuji Nagar - Bangalore,76.54,101.92,70.15,0.92,18.96,3.63,217,33,0.34,0,34.2,88,7.1,8.6
2020-01-16 12:00:00,Bapuji Nagar - Bangalore,81.1,137.25,48.98,0.64,21.42,10.71,159,40,0.42,0,27.5,68,6.2,5.6
2020-01-16 18:00:00,Bapuji Nagar - Bangalore,82.78,134.34,65.01,0.86,19.58,11.47,207,35,0.68,0,21.7,78,9.3,2.7
2020-01-17 00:00:00,Bapuji Nagar - Bangalore,47.51,80.54,34.99,0.73,24.37,9.07,102,47,0.74,0,28.1,86,8.9,8.1
2020-01-17 06:00:00,Bapuji Nagar - Bangalore,67.96,100.47,58.19,0.96,21.88,5.77,204,35,0.34,0,15.3,46,9.1,8.5
2020-01-17 12:00:00,Bapuji Nagar - Bangalore,64.31,98.52,55.62,0.84,18.23,9.64,171,39,0.47,0,26.8,51,10.1,3.5
2020-01-17 18:00:00,Bapuji Nagar - Bangalore,67.23,115.68,65.72,0.96,25.0,13.94,201,35,0.5,0,24.7,56,4.0,5.4
2020-01-18 00:00:00,Bapuji Nagar - Bangalore,51.93,70.61,36.07,0.75,21.51,16.89,103,47,0.57,0,31.3,80,4.0,5.5
2020-01-18 06:00:00,Bapuji Nagar - Bangalore,87.8,129.92,66.92,0.92,28.14,14.5,214,34,0.52,0,26.5,56,5.6,3.8
2020-01-18 12:00:00,Bapuji Nagar - Bangalore,81.3,109.79,52.97,0.8,12.95,12.96,165,40,0.36,1,34.0,86,11.5,1.4
2020-01-18 18:00:00,Bapuji Nagar - Bangalore,79.26,118.29,61.06,0.89,28.52,13.03,213,34,0.73,0,30.4,48,1.8,7.3
2020-01-19 00:00:00,Bapuji Nagar - Bangalore,50.07,86.05,43.97,0.72,25.62,8.85,86,49,0.68,0,25.4,51,7.0,8.7
2020-01-19 06:00:00,Bapuji Nagar - Bangalore,80.43,115.94,60.84,0.91,31.28,8.92,209,34,0.55,0,15.9,55,11.2,1.8
2020-01-19 12:00:00,Bapuji Nagar - Bangalore,71.54,104.84,50.71,0.77,28.48,7.32,148,42,0.23,0,29.9,78,6.0,5.2
2020-01-19 18:00:00,Bapuji Nagar - Bangalore,67.11,107.78,62.41,0.97,22.01,14.23,210,34,0.44,0,16.3,54,9.8,5.4
2020-01-20 00:00:00,Bapuji Nagar - Bangalore,36.62,56.27,37.56,0.67,28.43,8.64,88,49,0.27,0,24.6,55,10.6,9.8
2020-01-20 06:00:00,Bapuji Nagar - Bangalore,88.14,130.01,63.22,0.83,26.56,10.62,202,35,0.23,0,29.3,76,1.5,0.2
2020-01-20 12:00:00,Bapuji Nagar - Bangalore,74.76,108.14,54.54,0.85,19.15,11.71,161,40,0.83,0,34.8,46,11.9,2.3
2020-01-20 18:00:00,Bapuji Nagar - Bangalore,79.56,114.01,48.37,0.85,23.2,4.71,198,36,0.59,0,25.4,59,11.9,1.7
2020-01-21 00:00:00,Bapuji Nagar - Bangalore,37.45,49.34,37.43,0.64,27.24,10.11,86,49,0.9,0,15.9,73,10.5,8.1
2020-01-21 06:00:00,Bapuji Nagar - Bangalore,64.41,101.0,58.87,0.89,16.26,7.77,201,35,0.75,0,26.4,79,8.5,5.7
2020-01-21 12:00:00,Bapuji Nagar - Bangalore,58.64,87.2,50.75,0.79,18.45,12.59,148,42,0.86,0,33.6,75,7.8,7.5
2020-01-21 18:00:00,Bapuji Nagar - Bangalore,48.92,68.01,60.77,0.89,23.04,13.32,205,35,0.29,0,18.9,52,7.8,9.8
2020-01-22 00:00:00,Bapuji Nagar - Bangalore,33.41,51.52,27.35,0.71,20.0,10.38,82,50,0.25,0,18.6,76,2.1,9.4
2020-01-22 06:00:00,Bapuji Nagar - Bangalore,55.09,78.98,57.64,0.82,21.84,13.5,191,37,0.65,0,32.4,86,11.7,7.5
2020-01-22 12:00:00,Bapuji Nagar - Bangalore,67.47,96.67,56.82,0.76,21.1,11.92,155,41,0.37,0,31.5,50,3.4,0.8
2020-01-22 18:00:00,Bapuji Nagar - Bangalore,63.07,85.11,58.95,0.91,20.45,12.81,204,35,0.61,0,32.4,63,5.1,8.6
2020-01-23 00:00:00,Bapuji Nagar - Bangalore,55.04,96.97,41.4,0.64,26.44,7.96,108,47,0.29,0,33.2,42,3.0,4.6
2020-01-23 06:00:00,Bapuji Nagar - Bangalore,70.33,86.1,53.08,0.95,27.63,11.28,205,35,0.21,0,20.4,63,5.8,9.8
2020-01-23 12:00:00,Bapuji Nagar - Bangalore,55.93,74.63,57.52,0.84,24.2,10.08,150,42,0.38,0,30.6,47,9.0,7.5
2020-01-23 18:00:00,Bapuji Nagar - Bangalore,51.37,74.81,72.59,0.97,23.04,11.72,218,33,0.22,0,21.5,41,6.9,8.8
2020-01-24 00:00:00,Bapuji Nagar - Bangalore,42.56,58.67,44.49,0.73,25.68,11.91,105,47,0.22,0,18.3,88,11.5,1.2
2020-01-24 06:00:00,Bapuji Nagar - Bangalore,70.29,122.9,56.95,0.9,20.24,8.41,194,36,0.81,0,21.8,46,8.3,5.5
2020-01-24 12:00:00,Bapuji Nagar - Bangalore,65.11,122.42,50.92,0.78,20.84,5.76,159,40,0.69,0,30.8,71,6.5,5.6
2020-01-24 18:00:00,Bapuji Nagar - Bangalore,57.04,73.85,63.92,0.98,33.82,8.62,214,34,0.76,0,19.1,46,6.1,8.7
2020-01-25 00:00:00,Bapuji Nagar - Bangalore,39.98,71.01,33.87,0.69,28.37,10.78,85,49,0.41,0,24.7,41,7.6,7.9
2020-01-25 06:00:00,Bapuji Nagar - Bangalore,76.23,111.38,62.46,0.74,27.44,4.78,193,36,0.84,0,18.6,83,5.1,5.1
2020-01-25 12:00:00,Bapuji Nagar - Bangalore,58.89,100.7,45.37,0.75,22.85,12.99,146,42,0.21,0,18.3,64,11.7,2.6
2020-01-25 18:00:00,Bapuji Nagar - Bangalore,52.24,66.26,49.62,0.94,30.67,10.53,189,37,0.54,0,21.6,68,4.7,8.3
2020-01-26 00:00:00,Bapuji Nagar - Bangalore,34.2,45.8,40.35,0.66,22.35,11.35,105,47,0.28,0,29.1,67,10.5,5.6
2020-01-26 06:00:00,Bapuji Nagar - Bangalore,69.45,107.8,60.53,0.97,14.2,18.81,206,35,0.92,1,25.1,53,8.6,4.0
2020-01-26 12:00:00,Bapuji Nagar - Bangalore,86.0,123.79,57.57,0.81,26.84,7.25,161,40,0.73,0,28.3,59,2.4,1.3
2020-01-26 18:00:00,Bapuji Nagar - Bangalore,94.37,142.09,62.19,0.93,18.12,12.01,206,35,0.66,0,31.8,65,5.1,0.2
2020-01-27 00:00:00,Bapuji Nagar - Bangalore,78.63,114.76,39.89,0.69,22.81,7.64,106,47,0.32,0,28.2,87,8.2,1.1
2020-01-27 06:00:00,Bapuji Nagar - Bangalore,84.63,134.53,66.1,0.85,31.25,5.61,206,35,0.86,0,30.3,43,8.3,8.1
2020-01-27 12:00:00,Bapuji Nagar - Bangalore,75.57,113.07,47.26,0.85,30.95,12.09,166,40,0.65,0,27.2,54,8.7,3.9
2020-01-27 18:00:00,Bapuji Nagar - Bangalore,58.18,88.64,46.72,0.86,32.12,10.98,194,36,0.89,0,25.0,60,10.5,5.2
2020-01-28 00:00:00,Bapuji Nagar - Bangalore,63.69,98.58,34.11,0.68,14.81,9.71,101,47,0.87,1,29.3,82,1.2,2.0
2020-01-28 06:00:00,Bapuji Nagar - Bangalore,96.84,146.56,59.42,1.01,20.41,10.19,215,34,0.9,0,18.3,43,3.8,2.8
