location_id,location_name,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,owner_name,provider,co,no2,pm25,pm10,o3,so2,traffic_volume,avg_speed_kmph,congestion_level,incident_flag,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),wind_speed_10m (km/h),wind_direction_10m (°),wind_gusts_10m (km/h),cloud_cover (%),surface_pressure (hPa),precipitation (mm),weather_code (wmo code)
6978,"Royapuram, Chennai - TNPCB",2019-12-31T23:45:00Z,2020-01-01T05:30:00+05:30,Asia/Kolkata,13.1173,80.2939,IN,Tamil Nadu Pollution Control Board,CPCB,0.59,10.02,73.62,29.07,46.61,55.95,97,46,0.33,0,15.4,70,20.8,33.0,1.8,306,10.7,87,1015.0,8.8,1
6978,"Royapuram, Chennai - TNPCB",2020-01-01T05:45:00Z,2020-01-01T11:30:00+05:30,Asia/Kolkata,13.1173,80.2939,IN,Tamil Nadu Pollution Control Board,CPCB,0.33,76.8,64.84,108.57,13.61,91.42,138,37,0.36,0,17.4,74,11.0,25.6,7.0,44,5.3,69,991.9,7.7,51
6978,"Royapuram, Chennai - TNPCB",2020-01-01T11:45:00Z,2020-01-01T17:30:00+05:30,Asia/Kolkata,13.1173,80.2939,IN,Tamil Nadu Pollution Control Board,CPCB,0.39,66.24,52.13,75.05,48.5,39.56,135,38,0.86,1,22.7,85,13.6,33.4,2.3,355,9.9,43,1006.0,0.6,2
6978,"Royapuram, Chennai - TNPCB",2020-01-01T17:45:00Z,2020-01-01T23:30:00+05:30,Asia/Kolkata,13.1173,80.2939,IN,Tamil Nadu Pollution Control Board,CPCB,0.24,36.14,113.25,99.73,13.2,97.3,103,46,0.79,0,15.7,72,22.1,34.3,3.7,146,4.7,23,1007.5,4.5,95
6978,"Royapuram, Chennai - TNPCB",2020-01-01T23:45:00Z,2020-01-02T05:30:00+05:30,Asia/Kolkata,13.1173,80.2939,IN,Tamil Nadu Pollution Control Board,CPCB,0.22,80.0,40.73,110.09,17.41,22.65,103,41,0.57,0,16.8,80,15.4,19.3,4.2,245,3.0,81,1022.4,3.6,0
6978,"Royapuram, Chennai - TNPCB",2020-01-02T05:45:00Z,2020-01-02T11:30:00+05:30,Asia/Kolkata,13.1173,80.2939,IN,Tamil Nadu Pollution Control Board,CPCB,1.18,53.29,36.39,107.36,55.71,106.94,159,38,0.45,0,32.8,43,22.4,16.7,2.6,356,7.4,86,1014.4,5.2,0
6978,"Royapuram, Chennai - TNPCB",2020-01-02T11:45:00Z,2020-01-02T17:30:00+05:30,Asia/Kolkata,13.1173,80.2939,IN,Tamil Nadu Pollution Control Board,CPCB,0.44,26.83,47.15,87.58,34.24,83.42,137,36,0.78,0,28.6,62,18.3,34.3,3.3,187,14.8,6,1020.4,8.9,80
6978,"Royapuram, Chennai - TNPCB",2020-01-02T17:45:00Z,2020-01-02T23:30:00+05:30,Asia/Kolkata,13.1173,80.2939,IN,Tamil Nadu Pollution Control Board,CPCB,0.59,64.35,64.45,67.57,25.02,25.78,117,39,0.8,0,31.8,53,18.5,23.0,7.0,158,3.4,58,1008.2,9.5,2
6978,"Royapuram, Chennai - TNPCB",2020-01-02T23:45:00Z,2020-01-03T05:30:00+05:30,Asia/Kolkata,13.1173,80.2939,IN,Tamil Nadu Pollution Control Board,CPCB,1.37,75.16,33.5,70.35,33.66,28.56,106,41,0.49,0,16.6,51,11.8,16.6,6.9,78,4.2,9,1007.4,0.7,95
6978,"Royapuram, Chennai - TNPCB",2020-01-03T05:45:00Z,2020-01-03T11:30:00+05:30,Asia/Kolkata,13.1173,80.2939,IN,Tamil Nadu Pollution Control Board,CPCB,1.09,78.88,57.27,77.12,54.24,98.71,137,40,0.47,0,32.0,79,15.4,19.8,1.4,174,1.6,97,1001.1,7.6,51
