datetime,city,pm25,pm10,no2,co,o3,so2,traffic_volume,avg_speed_kmph,congestion_level,incident_flag,temperature,humidity,wind_speed,precipitation
2020-01-01 00:00:00,Royapuram - Chennai,73.38,101.81,28.49,0.66,19.9,10.55,68,51,0.84,0,22.9,70,4.1,9.8
2020-01-01 06:00:00,Royapuram - Chennai,112.03,156.19,48.25,0.85,28.16,11.29,174,39,0.31,0,16.0,42,1.7,0.5
2020-01-01 12:00:00,Royapuram - Chennai,86.86,134.84,59.04,0.78,24.03,9.93,141,43,0.81,0,27.4,77,2.3,9.3
2020-01-01 18:00:00,Royapuram - Chennai,80.52,118.96,51.95,0.89,24.04,10.62,184,37,0.94,0,34.8,70,9.7,1.8
2020-01-02 00:00:00,Royapuram - Chennai,52.03,74.25,32.67,0.61,30.95,10.09,69,51,0.81,0,21.7,47,8.9,1.3
2020-01-02 06:00:00,Royapuram - Chennai,75.71,109.72,58.59,0.85,22.21,12.06,178,38,0.62,0,21.1,68,2.0,9.0
2020-01-02 12:00:00,Royapuram - Chennai,56.61,93.04,44.42,0.81,21.93,5.77,142,42,0.94,0,25.1,40,7.9,8.1
2020-01-02 18:00:00,Royapuram - Chennai,58.15,85.32,52.09,0.79,26.13,7.22,175,39,0.71,0,21.5,47,11.3,0.7
2020-01-03 00:00:00,Royapuram - Chennai,38.07,55.29,30.25,0.65,15.92,9.17,71,51,0.25,0,17.2,41,1.9,8.7
2020-01-03 06:00:00,Royapuram - Chennai,63.81,94.2,51.66,0.89,11.44,12.63,189,37,0.5,0,23.9,60,2.5,8.7
2020-01-03 12:00:00,Royapuram - Chennai,44.55,60.45,49.6,0.76,24.16,11.01,133,44,0.36,0,33.5,50,6.0,9.5
2020-01-03 18:00:00,Royapuram - Chennai,47.18,79.36,51.65,0.79,30.48,10.58,165,40,0.86,0,26.1,55,8.0,3.3
2020-01-04 00:00:00,Royapuram - Chennai,56.47,92.58,35.66,0.68,21.19,13.41,95,48,0.78,0,28.0,84,1.1,1.5
2020-01-04 06:00:00,Royapuram - Chennai,92.31,142.6,53.31,0.83,20.69,3.29,176,38,0.86,0,23.2,87,2.7,0.3
2020-01-04 12:00:00,Royapuram - Chennai,53.92,97.83,35.91,0.8,14.0,5.66,128,44,0.38,0,25.1,58,11.4,8.4
2020-01-04 18:00:00,Royapuram - Chennai,48.98,61.65,48.03,0.95,25.75,10.65,181,38,0.29,0,32.3,56,7.9,6.5
