location_id,location_name,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,owner_name,provider,co,no2,pm25,pm10,o3,so2,traffic_volume,avg_speed_kmph,congestion_level,incident_flag,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),wind_speed_10m (km/h),wind_direction_10m (°),wind_gusts_10m (km/h),cloud_cover (%),surface_pressure (hPa),precipitation (mm),weather_code (wmo code)
6975,"Nehru Nagar, Delhi - DPCC",2019-12-31T23:45:00Z,2020-01-01T05:30:00+05:30,Asia/Kolkata,28.5672,77.2436,IN,Delhi Pollution Control Committee,CPCB,1.39,63.53,39.94,33.04,44.98,71.72,102,41,0.46,0,29.7,59,11.6,24.3,4.3,55,6.7,51,992.1,0.1,51
6975,"Nehru Nagar, Delhi - DPCC",2020-01-01T05:45:00Z,2020-01-01T11:30:00+05:30,Asia/Kolkata,28.5672,77.2436,IN,Delhi Pollution Control Committee,CPCB,0.4,60.64,21.04,67.29,38.84,47.34,185,33,0.95,0,33.3,42,11.7,29.5,3.6,30,4.2,40,1012.0,1.4,51
6975,"Nehru Nagar, Delhi - DPCC",2020-01-01T11:45:00Z,2020-01-01T17:30:00+05:30,Asia/Kolkata,28.5672,77.2436,IN,Delhi Pollution Control Committee,CPCB,0.4,18.65,91.28,117.0,41.04,67.32,152,38,0.23,0,34.1,83,23.2,27.9,9.4,110,3.1,99,994.1,0.8,80
6975,"Nehru Nagar, Delhi - DPCC",2020-01-01T17:45:00Z,2020-01-01T23:30:00+05:30,Asia/Kolkata,28.5672,77.2436,IN,Delhi Pollution Control Committee,CPCB,0.98,58.13,47.69,73.17,31.84,30.91,148,34,0.26,1,30.8,46,23.0,25.5,2.2,140,8.1,98,1024.5,2.7,2
6975,"Nehru Nagar, Delhi - DPCC",2020-01-01T23:45:00Z,2020-01-02T05:30:00+05:30,Asia/Kolkata,28.5672,77.2436,IN,Delhi Pollution Control Committee,CPCB,1.33,50.14,88.87,110.68,24.04,97.74,115,42,0.75,1,18.5,80,17.1,25.5,8.1,158,7.2,98,1010.9,1.5,2
6975,"Nehru Nagar, Delhi - DPCC",2020-01-02T05:45:00Z,2020-01-02T11:30:00+05:30,Asia/Kolkata,28.5672,77.2436,IN,Delhi Pollution Control Committee,CPCB,1.11,11.84,24.76,53.27,15.15,72.41,151,36,0.91,0,26.7,66,11.4,24.2,2.0,84,8.4,90,995.9,2.2,2
6975,"Nehru Nagar, Delhi - DPCC",2020-01-02T11:45:00Z,2020-01-02T17:30:00+05:30,Asia/Kolkata,28.5672,77.2436,IN,Delhi Pollution Control Committee,CPCB,0.7,22.66,34.05,89.35,60.26,91.44,161,36,0.97,0,32.3,46,17.3,21.4,7.2,48,6.6,50,997.7,5.7,80
6975,"Nehru Nagar, Delhi - DPCC",2020-01-02T17:45:00Z,2020-01-02T23:30:00+05:30,Asia/Kolkata,28.5672,77.2436,IN,Delhi Pollution Control Committee,CPCB,1.23,13.91,93.66,54.91,66.22,89.76,140,37,0.6,0,15.7,70,13.4,27.4,2.9,196,8.6,3,1011.3,4.6,2
6975,"Nehru Nagar, Delhi - DPCC",2020-01-02T23:45:00Z,2020-01-03T05:30:00+05:30,Asia/Kolkata,28.5672,77.2436,IN,Delhi Pollution Control Committee,CPCB,1.42,11.14,78.95,37.39,16.61,37.02,123,43,0.83,0,31.6,64,24.2,17.6,6.8,159,5.8,14,1012.7,7.9,95
6975,"Nehru Nagar, Delhi - DPCC",2020-01-03T05:45:00Z,2020-01-03T11:30:00+05:30,Asia/Kolkata,28.5672,77.2436,IN,Delhi Pollution Control Committee,CPCB,1.07,19.38,50.14,93.43,65.83,48.22,168,31,0.81,0,28.9,73,15.9,19.6,6.0,214,11.4,31,995.6,0.6,51
6975,"Nehru Nagar, Delhi - DPCC",2020-01-03T11:45:00Z,2020-01-03T17:30:00+05:30,Asia/Kolkata,28.5672,77.2436,IN,Delhi Pollution Control Committee,CPCB,0.75,44.85,90.8,71.85,12.61,57.3,156,37,0.63,0,16.1,40,13.6,34.6,4.5,282,7.5,72,990.2,3.3,0
6975,"Nehru Nagar, Delhi - DPCC",2020-01-03T17:45:00Z,2020-01-03T23:30:00+05:30,Asia/Kolkata,28.5672,77.2436,IN,Delhi Pollution Control Committee,CPCB,0.91,39.05,109.09,106.62,13.32,21.36,123,38,0.69,0,30.1,66,22.6,24.0,1.8,16,5.6,49,1018.6,3.8,2
6975,"Nehru Nagar, Delhi - DPCC",2020-01-03T23:45:00Z,2020-01-04T05:30:00+05:30,Asia/Kolkata,28.5672,77.2436,IN,Delhi Pollution Control Committee,CPCB,1.25,54.63,83.65,80.14,78.38,116.92,103,46,0.82,0,16.4,61,11.2,23.9,4.0,270,11.1,51,998.1,0.1,45
6975,"Nehru Nagar, Delhi - DPCC",2020-01-04T05:45:00Z,2020-01-04T11:30:00+05:30,Asia/Kolkata,28.5672,77.2436,IN,Delhi Pollution Control Committee,CPCB,0.38,53.32,61.23,43.95,29.89,54.69,163,33,0.81,0,17.5,43,18.0,19.0,7.4,0,14.5,13,991.2,5.1,2
6975,"Nehru Nagar, Delhi - DPCC",2020-01-04T11:45:00Z,2020-01-04T17:30:00+05:30,Asia/Kolkata,28.5672,77.2436,IN,Delhi Pollution Control Committee,CPCB,1.19,53.41,109.97,76.97,10.34,78.54,181,32,0.45,0,28.9,43,18.8,21.4,9.8,72,1.8,23,996.6,1.6,61
6975,"Nehru Nagar, Delhi - DPCC",2020-01-04T17:45:00Z,2020-01-04T23:30:00+05:30,Asia/Kolkata,28.5672,77.2436,IN,Delhi Pollution Control Committee,CPCB,0.65,20.52,62.24,53.79,20.6,75.7,143,35,0.98,0,23.0,68,10.9,24.7,5.7,65,2.0,78,1012.6,4.4,3
6975,"Nehru Nagar, Delhi - DPCC",2020-01-04T23:45:00Z,2020-01-05T05:30:00+05:30,Asia/Kolkata,28.5672,77.2436,IN,Delhi Pollution Control Committee,CPCB,1.34,73.27,111.19,104.74,63.07,109.58,100,43,0.71,0,25.1,64,18.4,33.4,9.5,160,9.2,11,991.7,9.9,0
6975,"Nehru Nagar, Delhi - DPCC",2020-01-05T05:45:00Z,2020-01-05T11:30:00+05:30,Asia/Kolkata,28.5672,77.2436,IN,Delhi Pollution Control Committee,CPCB,0.83,77.98,53.14,82.54,12.14,70.88,156,38,0.83,0,32.0,86,24.1,28.9,10.0,126,14.1,34,1003.8,7.2,95
