datetime,city,pm25,pm10,no2,co,o3,so2,traffic_volume,avg_speed_kmph,congestion_level,incident_flag,temperature,humidity,wind_speed,precipitation
2020-01-01 00:00:00,Nehru Nagar - Delhi,148.07,232.9,48.04,0.67,24.96,14.08,111,46,0.68,0,30.1,68,6.3,5.5
2020-01-01 06:00:00,Nehru Nagar - Delhi,159.0,234.59,61.41,0.95,25.79,8.85,213,34,0.7,0,20.8,42,1.6,5.1
2020-01-01 12:00:00,Nehru Nagar - Delhi,153.53,220.14,50.38,0.78,24.56,6.92,155,41,0.32,0,34.3,72,1.4,1.5
2020-01-01 18:00:00,Nehru Nagar - Delhi,129.13,199.7,71.25,0.87,22.66,1.9,209,34,0.57,0,24.6,66,7.4,6.6
2020-01-02 00:00:00,Nehru Nagar - Delhi,101.15,147.04,39.67,0.73,19.15,7.12,86,49,0.86,0,20.5,48,3.4,7.3
2020-01-02 06:00:00,Nehru Nagar - Delhi,136.96,212.13,55.24,0.85,16.14,8.58,200,36,0.28,0,24.2,66,5.6,4.8
2020-01-02 12:00:00,Nehru Nagar - Delhi,103.21,149.94,53.01,0.82,29.19,8.08,166,40,0.63,0,22.5,56,11.6,9.3
2020-01-02 18:00:00,Nehru Nagar - Delhi,87.46,134.74,48.25,0.97,22.65,10.44,203,35,0.26,0,33.6,48,11.1,9.4
2020-01-03 00:00:00,Nehru Nagar - Delhi,70.01,106.49,45.58,0.72,19.89,13.85,97,48,0.26,0,34.6,80,10.5,3.5
2020-01-03 06:00:00,Nehru Nagar - Delhi,130.0,209.8,64.13,0.96,24.26,9.78,215,34,0.65,0,24.2,72,4.0,1.8
2020-01-03 12:00:00,Nehru Nagar - Delhi,113.98,157.96,56.38,0.89,21.21,9.62,166,40,0.79,0,34.0,51,1.4,7.3
2020-01-03 18:00:00,Nehru Nagar - Delhi,107.98,162.88,61.74,0.95,15.67,9.46,220,33,0.89,0,31.7,86,5.9,7.6
2020-01-04 00:00:00,Nehru Nagar - Delhi,81.8,119.87,42.07,0.65,20.4,7.3,105,47,0.61,0,18.4,64,7.7,9.0
2020-01-04 06:00:00,Nehru Nagar - Delhi,126.98,193.83,58.99,0.95,23.43,12.5,218,33,0.7,0,16.8,42,11.3,0.1
2020-01-04 12:00:00,Nehru Nagar - Delhi,133.95,198.87,55.05,0.82,24.27,12.26,165,40,0.73,0,24.5,58,7.4,0.2
2020-01-04 18:00:00,Nehru Nagar - Delhi,128.31,189.23,64.74,0.89,22.49,5.03,222,33,0.29,0,25.6,48,9.2,2.6
2020-01-05 00:00:00,Nehru Nagar - Delhi,75.23,116.21,38.54,0.69,22.58,13.25,86,49,0.37,1,17.0,49,11.2,9.5
2020-01-05 06:00:00,Nehru Nagar - Delhi,128.64,202.09,58.17,0.91,23.52,17.4,200,36,0.33,0,16.2,45,4.8,2.6
2020-01-05 12:00:00,Nehru Nagar - Delhi,135.8,198.2,62.1,0.77,28.27,9.33,166,40,0.64,0,31.7,89,3.7,0.5
2020-01-05 18:00:00,Nehru Nagar - Delhi,112.64,166.34,64.88,0.94,24.94,13.03,207,35,0.22,0,26.5,61,11.0,6.4
2020-01-06 00:00:00,Nehru Nagar - Delhi,87.8,130.29,44.69,0.76,11.8,5.62,111,46,0.6,0,15.1,81,11.5,4.6
2020-01-06 06:00:00,Nehru Nagar - Delhi,133.34,191.94,66.96,0.91,21.42,9.12,204,35,0.76,0,22.9,60,1.4,6.4
2020-01-06 12:00:00,Nehru Nagar - Delhi,123.89,197.28,57.28,0.78,22.74,13.09,169,39,0.56,0,15.1,57,4.1,8.8
2020-01-06 18:00:00,Nehru Nagar - Delhi,117.02,185.18,62.06,0.93,31.39,7.93,200,36,0.66,0,20.8,43,4.4,7.5
2020-01-07 00:00:00,Nehru Nagar - Delhi,90.19,127.75,47.87,0.73,18.19,12.84,112,46,0.89,0,32.8,82,11.5,3.8
2020-01-07 06:00:00,Nehru Nagar - Delhi,121.06,199.58,60.15,0.92,26.51,4.55,214,34,0.65,0,25.4,61,6.7,5.6
