location_id,location_name,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,owner_name,provider,co,no2,pm25,pm10,o3,so2,traffic_volume,avg_speed_kmph,congestion_level,incident_flag,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),wind_speed_10m (km/h),wind_direction_10m (°),wind_gusts_10m (km/h),cloud_cover (%),surface_pressure (hPa),precipitation (mm),weather_code (wmo code)
6977,"Victoria, Kolkata - WBPCB",2019-12-31T23:45:00Z,2020-01-01T05:30:00+05:30,Asia/Kolkata,22.5448,88.3426,IN,West Bengal Pollution Control Board,CPCB,1.5,57.32,40.92,110.57,38.01,28.17,113,43,0.18,0,28.7,49,16.7,17.0,1.8,225,13.8,51,999.4,3.7,95
6977,"Victoria, Kolkata - WBPCB",2020-01-01T05:45:00Z,2020-01-01T11:30:00+05:30,Asia/Kolkata,22.5448,88.3426,IN,West Bengal Pollution Control Board,CPCB,0.36,67.42,74.42,65.73,73.78,62.43,138,40,0.41,0,17.0,76,24.0,27.9,5.1,250,7.3,52,1006.7,1.3,3
6977,"Victoria, Kolkata - WBPCB",2020-01-01T11:45:00Z,2020-01-01T17:30:00+05:30,Asia/Kolkata,22.5448,88.3426,IN,West Bengal Pollution Control Board,CPCB,1.05,33.61,41.77,90.02,37.45,34.88,142,35,0.98,0,19.2,65,21.7,33.6,2.2,19,7.6,57,1016.6,7.4,45
6977,"Victoria, Kolkata - WBPCB",2020-01-01T17:45:00Z,2020-01-01T23:30:00+05:30,Asia/Kolkata,22.5448,88.3426,IN,West Bengal Pollution Control Board,CPCB,1.08,39.43,43.84,87.58,15.74,25.69,136,37,0.39,0,29.0,79,16.3,22.2,1.8,82,10.2,0,997.0,7.6,61
6977,"Victoria, Kolkata - WBPCB",2020-01-01T23:45:00Z,2020-01-02T05:30:00+05:30,Asia/Kolkata,22.5448,88.3426,IN,West Bengal Pollution Control Board,CPCB,0.37,19.66,46.32,112.26,33.82,82.34,98,47,0.91,0,27.5,48,22.1,31.2,6.4,11,4.9,66,1005.1,3.6,3
6977,"Victoria, Kolkata - WBPCB",2020-01-02T05:45:00Z,2020-01-02T11:30:00+05:30,Asia/Kolkata,22.5448,88.3426,IN,West Bengal Pollution Control Board,CPCB,0.76,37.0,68.96,73.74,36.9,118.15,155,35,0.83,0,27.3,88,20.7,19.6,5.7,25,4.3,12,1024.7,1.8,3
6977,"Victoria, Kolkata - WBPCB",2020-01-02T11:45:00Z,2020-01-02T17:30:00+05:30,Asia/Kolkata,22.5448,88.3426,IN,West Bengal Pollution Control Board,CPCB,1.06,64.46,114.02,104.83,34.52,97.07,158,34,0.76,0,25.5,40,13.2,31.2,2.4,181,14.1,82,990.2,4.7,0
6977,"Victoria, Kolkata - WBPCB",2020-01-02T17:45:00Z,2020-01-02T23:30:00+05:30,Asia/Kolkata,22.5448,88.3426,IN,West Bengal Pollution Control Board,CPCB,1.37,74.7,84.71,54.11,73.26,45.08,131,37,0.94,1,19.7,59,20.4,16.6,6.9,120,9.6,27,1018.5,1.4,45
6977,"Victoria, Kolkata - WBPCB",2020-01-02T23:45:00Z,2020-01-03T05:30:00+05:30,Asia/Kolkata,22.5448,88.3426,IN,West Bengal Pollution Control Board,CPCB,0.91,39.23,88.37,80.82,55.58,68.79,95,47,0.18,0,32.7,82,16.0,23.5,6.3,313,12.1,92,997.6,1.1,0
6977,"Victoria, Kolkata - WBPCB",2020-01-03T05:45:00Z,2020-01-03T11:30:00+05:30,Asia/Kolkata,22.5448,88.3426,IN,West Bengal Pollution Control Board,CPCB,0.97,28.07,118.36,55.61,19.14,46.59,148,37,0.45,0,19.7,49,13.7,24.5,8.7,32,6.3,36,1004.0,3.3,95
6977,"Victoria, Kolkata - WBPCB",2020-01-03T11:45:00Z,2020-01-03T17:30:00+05:30,Asia/Kolkata,22.5448,88.3426,IN,West Bengal Pollution Control Board,CPCB,0.94,61.36,36.44,80.72,74.69,26.62,169,32,0.93,0,33.6,61,22.6,19.1,7.7,339,6.0,13,997.8,8.2,3
6977,"Victoria, Kolkata - WBPCB",2020-01-03T17:45:00Z,2020-01-03T23:30:00+05:30,Asia/Kolkata,22.5448,88.3426,IN,West Bengal Pollution Control Board,CPCB,0.37,30.6,92.63,100.23,76.36,48.19,114,43,0.27,0,21.2,46,23.1,18.7,2.2,285,9.2,64,1003.6,5.3,0
6977,"Victoria, Kolkata - WBPCB",2020-01-03T23:45:00Z,2020-01-04T05:30:00+05:30,Asia/Kolkata,22.5448,88.3426,IN,West Bengal Pollution Control Board,CPCB,0.94,62.07,82.12,88.23,77.11,107.31,116,42,0.56,0,17.8,59,21.1,21.0,6.4,238,14.7,0,1013.8,1.6,0
6977,"Victoria, Kolkata - WBPCB",2020-01-04T05:45:00Z,2020-01-04T11:30:00+05:30,Asia/Kolkata,22.5448,88.3426,IN,West Bengal Pollution Control Board,CPCB,0.88,41.46,45.11,110.02,56.78,100.53,137,37,0.45,0,17.2,60,17.5,19.7,4.5,275,3.5,63,1010.8,1.2,0
6977,"Victoria, Kolkata - WBPCB",2020-01-04T11:45:00Z,2020-01-04T17:30:00+05:30,Asia/Kolkata,22.5448,88.3426,IN,West Bengal Pollution Control Board,CPCB,0.51,69.3,111.78,74.5,54.88,70.36,144,40,0.79,0,20.7,71,13.1,23.1,1.5,6,12.2,18,1021.3,9.3,95
6977,"Victoria, Kolkata - WBPCB",2020-01-04T17:45:00Z,2020-01-04T23:30:00+05:30,Asia/Kolkata,22.5448,88.3426,IN,West Bengal Pollution Control Board,CPCB,0.81,62.37,108.35,72.96,70.74,42.86,112,42,0.54,0,20.9,70,18.3,33.7,2.8,46,14.5,72,1006.1,4.8,61
6977,"Victoria, Kolkata - WBPCB",2020-01-04T23:45:00Z,2020-01-05T05:30:00+05:30,Asia/Kolkata,22.5448,88.3426,IN,West Bengal Pollution Control Board,CPCB,0.26,24.37,78.49,67.28,37.48,55.4,89,46,0.36,0,34.2,62,21.2,33.4,4.9,43,5.2,2,1015.9,2.0,80
6977,"Victoria, Kolkata - WBPCB",2020-01-05T05:45:00Z,2020-01-05T11:30:00+05:30,Asia/Kolkata,22.5448,88.3426,IN,West Bengal Pollution Control Board,CPCB,1.3,40.91,34.14,116.88,10.44,38.42,137,39,0.81,0,22.1,57,18.1,33.4,7.0,53,2.9,9,1017.7,5.8,3
6977,"Victoria, Kolkata - WBPCB",2020-01-05T11:45:00Z,2020-01-05T17:30:00+05:30,Asia/Kolkata,22.5448,88.3426,IN,West Bengal Pollution Control Board,CPCB,1.26,52.08,107.31,68.9,78.48,94.23,157,33,0.69,0,29.7,78,21.5,15.2,8.0,132,14.4,27,1013.4,9.1,95
6977,"Victoria, Kolkata - WBPCB",2020-01-05T17:45:00Z,2020-01-05T23:30:00+05:30,Asia/Kolkata,22.5448,88.3426,IN,West Bengal Pollution Control Board,CPCB,1.44,12.33,76.54,86.67,61.73,65.37,138,39,0.59,0,18.7,63,10.5,18.1,6.1,134,9.2,78,1001.5,7.4,45
6977,"Victoria, Kolkata - WBPCB",2020-01-05T23:45:00Z,2020-01-06T05:30:00+05:30,Asia/Kolkata,22.5448,88.3426,IN,West Bengal Pollution Control Board,CPCB,0.64,32.0,21.54,113.67,58.11,28.96,110,41,0.9,1,16.7,64,23.1,24.0,4.7,38,1.6,96,1016.2,2.5,80
6977,"Victoria, Kolkata - WBPCB",2020-01-06T05:45:00Z,2020-01-06T11:30:00+05:30,Asia/Kolkata,22.5448,88.3426,IN,West Bengal Pollution Control Board,CPCB,1.06,38.07,75.88,75.55,29.53,77.09,157,34,0.86,0,31.4,70,24.7,27.2,5.8,248,9.7,48,1002.6,6.1,95
6977,"Victoria, Kolkata - WBPCB",2020-01-06T11:45:00Z,2020-01-06T17:30:00+05:30,Asia/Kolkata,22.5448,88.3426,IN,West Bengal Pollution Control Board,CPCB,0.64,12.2,116.3,85.38,23.35,92.69,148,35,0.22,0,27.9,55,11.1,30.1,4.2,104,9.3,86,1006.7,3.3,61
6977,"Victoria, Kolkata - WBPCB",2020-01-06T17:45:00Z,2020-01-06T23:30:00+05:30,Asia/Kolkata,22.5448,88.3426,IN,West Bengal Pollution Control Board,CPCB,1.05,75.73,63.84,95.12,25.71,45.27,105,45,0.36,0,18.4,63,22.3,16.2,9.8,336,14.8,84,1022.8,1.5,2
6977,"Victoria, Kolkata - WBPCB",2020-01-06T23:45:00Z,2020-01-07T05:30:00+05:30,Asia/Kolkata,22.5448,88.3426,IN,West Bengal Pollution Control Board,CPCB,0.81,16.53,84.75,84.15,41.46,79.97,90,44,0.5,0,30.3,46,16.0,15.2,9.9,316,4.7,57,990.6,8.5,0
6977,"Victoria, Kolkata - WBPCB",2020-01-07T05:45:00Z,2020-01-07T11:30:00+05:30,Asia/Kolkata,22.5448,88.3426,IN,West Bengal Pollution Control Board,CPCB,1.44,39.86,60.54,28.13,67.84,117.15,131,41,0.71,0,18.6,46,13.9,29.4,6.2,64,1.7,86,1008.5,6.7,61
6977,"Victoria, Kolkata - WBPCB",2020-01-07T11:45:00Z,2020-01-07T17:30:00+05:30,Asia/Kolkata,22.5448,88.3426,IN,West Bengal Pollution Control Board,CPCB,0.96,62.96,50.23,114.31,11.68,57.1,149,35,0.28,0,18.8,65,24.5,29.0,4.9,353,13.5,94,1009.3,7.3,0
6977,"Victoria, Kolkata - WBPCB",2020-01-07T17:45:00Z,2020-01-07T23:30:00+05:30,Asia/Kolkata,22.5448,88.3426,IN,West Bengal Pollution Control Board,CPCB,1.22,27.66,84.09,30.11,18.03,37.39,113,45,0.53,0,22.8,82,20.2,32.3,1.3,213,2.4,91,1010.9,0.3,61
6977,"Victoria, Kolkata - WBPCB",2020-01-07T23:45:00Z,2020-01-08T05:30:00+05:30,Asia/Kolkata,22.5448,88.3426,IN,West Bengal Pollution Control Board,CPCB,0.31,18.08,43.93,60.42,52.91,33.03,107,41,0.22,0,16.9,45,14.6,17.6,8.8,126,3.3,79,990.3,6.5,1
6977,"Victoria, Kolkata - WBPCB",2020-01-08T05:45:00Z,2020-01-08T11:30:00+05:30,Asia/Kolkata,22.5448,88.3426,IN,West Bengal Pollution Control Board,CPCB,0.54,31.44,32.89,21.65,39.23,82.9,161,37,0.21,0,19.3,71,22.6,22.9,5.8,185,10.2,27,1017.6,6.3,3
6977,"Victoria, Kolkata - WBPCB",2020-01-08T11:45:00Z,2020-01-08T17:30:00+05:30,Asia/Kolkata,22.5448,88.3426,IN,West Bengal Pollution Control Board,CPCB,0.54,19.5,109.35,60.86,78.27,99.74,150,37,0.26,0,28.4,67,20.9,33.7,1.1,255,2.2,97,1005.1,4.8,51
6977,"Victoria, Kolkata - WBPCB",2020-01-08T17:45:00Z,2020-01-08T23:30:00+05:30,Asia/Kolkata,22.5448,88.3426,IN,West Bengal Pollution Control Board,CPCB,1.07,69.72,29.22,76.95,77.83,110.57,138,38,0.73,0,21.6,44,13.4,24.1,4.9,5,7.2,62,1013.6,9.7,1
6977,"Victoria, Kolkata - WBPCB",2020-01-08T23:45:00Z,2020-01-09T05:30:00+05:30,Asia/Kolkata,22.5448,88.3426,IN,West Bengal Pollution Control Board,CPCB,0.69,73.34,106.98,109.21,11.93,58.92,87,48,0.88,0,32.1,53,16.6,23.2,3.4,262,12.4,45,1023.1,4.4,80
6977,"Victoria, Kolkata - WBPCB",2020-01-09T05:45:00Z,2020-01-09T11:30:00+05:30,Asia/Kolkata,22.5448,88.3426,IN,West Bengal Pollution Control Board,CPCB,0.66,37.91,45.66,72.84,48.74,87.14,167,36,0.24,0,35.0,54,12.2,20.2,5.9,340,8.5,26,996.5,3.0,2
6977,"Victoria, Kolkata - WBPCB",2020-01-09T11:45:00Z,2020-01-09T17:30:00+05:30,Asia/Kolkata,22.5448,88.3426,IN,West Bengal Pollution Control Board,CPCB,0.44,66.54,64.0,84.22,27.07,96.2,147,38,0.68,0,16.1,48,17.9,26.6,9.3,233,15.0,13,995.0,9.6,1
6977,"Victoria, Kolkata - WBPCB",2020-01-09T17:45:00Z,2020-01-09T23:30:00+05:30,Asia/Kolkata,22.5448,88.3426,IN,West Bengal Pollution Control Board,CPCB,0.45,13.24,110.38,23.51,32.4,93.71,127,38,0.93,0,28.2,62,19.3,27.8,3.0,295,11.9,23,1009.2,8.2,1
