datetime,city,pm25,pm10,no2,co,o3,so2,traffic_volume,avg_speed_kmph,congestion_level,incident_flag,temperature,humidity,wind_speed,precipitation
2020-01-01 00:00:00,Victoria - Kolkata,88.73,133.57,37.83,0.66,4.78,8.95,76,50,0.41,0,26.2,74,9.8,7.6
2020-01-01 06:00:00,Victoria - Kolkata,90.65,134.25,63.27,0.94,27.84,6.15,193,36,0.95,0,19.3,83,8.3,9.8
2020-01-01 12:00:00,Victoria - Kolkata,80.73,124.93,52.54,0.87,17.71,9.94,155,41,0.72,0,25.6,67,9.3,4.9
2020-01-01 18:00:00,Victoria - Kolkata,83.32,128.01,56.63,0.79,21.53,4.18,172,39,0.51,1,19.3,50,11.2,1.0
2020-01-02 00:00:00,Victoria - Kolkata,64.95,85.54,39.23,0.66,27.49,10.16,81,50,0.36,0,24.4,76,4.0,7.7
2020-01-02 06:00:00,Victoria - Kolkata,98.09,138.81,59.18,0.91,17.17,11.42,188,37,0.8,0,19.9,68,1.7,5.1
2020-01-02 12:00:00,Victoria - Kolkata,87.83,133.0,40.18,0.75,20.67,10.76,146,42,0.51,0,15.6,89,7.6,6.5
2020-01-02 18:00:00,Victoria - Kolkata,82.41,114.62,51.91,0.77,20.09,16.06,177,38,0.86,0,16.8,85,8.8,4.8
2020-01-03 00:00:00,Victoria - Kolkata,51.01,85.01,38.03,0.64,16.85,7.74,77,50,0.83,0,17.3,82,8.9,8.4
2020-01-03 06:00:00,Victoria - Kolkata,81.24,117.95,53.64,0.83,23.64,10.68,192,36,0.4,0,28.0,69,8.1,5.8
2020-01-03 12:00:00,Victoria - Kolkata,90.45,135.28,46.95,0.69,20.9,11.38,130,44,0.7,0,29.5,81,4.1,1.0
2020-01-03 18:00:00,Victoria - Kolkata,91.52,149.87,55.77,0.76,27.1,11.91,172,39,0.29,0,30.1,79,7.9,1.1
2020-01-04 00:00:00,Victoria - Kolkata,84.94,116.65,36.05,0.76,25.19,8.92,97,48,0.7,0,17.2,51,2.3,5.2
2020-01-04 06:00:00,Victoria - Kolkata,106.52,149.77,60.43,0.88,14.62,8.63,192,36,0.38,0,28.4,62,10.3,2.7
2020-01-04 12:00:00,Victoria - Kolkata,106.85,162.02,45.85,0.82,29.92,8.93,156,41,0.42,0,19.8,50,4.7,3.8
2020-01-04 18:00:00,Victoria - Kolkata,93.01,147.34,61.55,0.85,26.31,17.03,193,36,0.22,0,30.5,78,11.5,1.3
2020-01-05 00:00:00,Victoria - Kolkata,64.53,83.71,50.85,0.64,14.42,15.14,98,48,0.84,0,22.3,81,6.2,7.8
2020-01-05 06:00:00,Victoria - Kolkata,97.66,135.27,57.14,0.92,17.37,11.33,184,37,0.22,0,28.2,82,5.6,1.8
2020-01-05 12:00:00,Victoria - Kolkata,67.65,99.6,31.89,0.72,26.16,13.57,132,44,0.81,0,26.7,52,9.5,6.0
2020-01-05 18:00:00,Victoria - Kolkata,79.17,124.88,59.08,0.88,25.14,11.39,190,37,0.49,0,27.7,56,10.7,0.6
2020-01-06 00:00:00,Victoria - Kolkata,43.2,66.13,36.75,0.63,16.94,11.82,79,50,0.66,0,19.6,75,10.8,7.3
2020-01-06 06:00:00,Victoria - Kolkata,80.43,122.5,51.07,1.01,23.54,11.4,183,38,0.62,0,19.5,67,6.6,5.5
2020-01-06 12:00:00,Victoria - Kolkata,69.65,96.85,54.74,0.75,19.72,12.28,129,44,0.55,0,15.2,42,6.2,7.2
2020-01-06 18:00:00,Victoria - Kolkata,66.84,110.82,64.34,0.99,25.38,14.19,191,37,0.9,0,27.2,40,11.9,2.5
2020-01-07 00:00:00,Victoria - Kolkata,60.21,92.11,40.65,0.65,22.32,14.48,73,51,0.85,0,33.7,53,6.0,1.8
2020-01-07 06:00:00,Victoria - Kolkata,89.68,141.38,48.35,0.88,29.82,4.68,173,39,0.51,0,21.2,70,8.5,3.4
2020-01-07 12:00:00,Victoria - Kolkata,93.58,138.15,44.46,0.94,25.03,6.62,139,43,0.89,0,30.3,80,5.4,1.0
2020-01-07 18:00:00,Victoria - Kolkata,91.79,139.18,59.11,0.8,25.57,8.44,171,39,0.57,0,23.3,71,4.6,3.2
2020-01-08 00:00:00,Victoria - Kolkata,81.43,136.72,44.21,0.77,19.65,9.35,99,48,0.45,0,16.2,70,4.1,3.3
2020-01-08 06:00:00,Victoria - Kolkata,87.34,130.51,73.31,0.9,36.28,10.8,195,36,0.65,1,32.7,46,7.4,9.3
2020-01-08 12:00:00,Victoria - Kolkata,83.88,125.38,54.2,0.85,22.76,12.71,134,43,0.56,0,27.0,71,7.3,3.4
2020-01-08 18:00:00,Victoria - Kolkata,94.73,143.03,57.88,0.8,21.06,6.93,176,38,0.83,0,28.9,60,4.5,0.9
2020-01-09 00:00:00,Victoria - Kolkata,77.99,121.68,39.01,0.72,21.44,10.59,76,50,0.7,0,15.1,46,7.3,0.5
2020-01-09 06:00:00,Victoria - Kolkata,100.33,154.13,63.09,0.94,25.28,7.51,194,36,0.52,0,25.3,53,9.5,2.1
2020-01-09 12:00:00,Victoria - Kolkata,96.0,146.97,56.4,0.78,34.19,12.96,153,41,0.82,0,15.5,42,5.8,3.1
2020-01-09 18:00:00,Victoria - Kolkata,103.55,159.65,54.83,0.89,18.53,6.84,188,37,0.86,1,15.6,44,7.7,1.0
2020-01-10 00:00:00,Victoria - Kolkata,81.88,117.93,27.65,0.73,33.98,9.97,95,48,0.24,0,33.6,57,5.3,2.9
2020-01-10 06:00:00,Victoria - Kolkata,94.03,132.39,63.82,0.83,16.83,10.21,174,39,0.35,0,20.0,84,10.6,3.0
2020-01-10 12:00:00,Victoria - Kolkata,90.04,141.08,42.37,0.82,22.68,7.14,156,41,0.61,0,24.9,64,6.0,6.2
2020-01-10 18:00:00,Victoria - Kolkata,69.94,118.87,58.77,0.94,30.51,10.48,193,36,0.86,0,27.8,59,11.6,7.3
2020-01-11 00:00:00,Victoria - Kolkata,62.25,100.05,34.13,0.68,30.51,15.73,74,51,0.35,0,22.4,77,2.0,4.3
2020-01-11 06:00:00,Victoria - Kolkata,90.1,131.69,51.42,0.89,30.82,8.21,173,39,0.21,0,21.7,62,3.7,3.4
2020-01-11 12:00:00,Victoria - Kolkata,89.64,143.42,48.08,0.79,23.58,10.78,144,42,0.24,0,26.0,85,10.7,2.3
2020-01-11 18:00:00,Victoria - Kolkata,84.84,155.25,61.92,0.92,22.19,3.77,197,36,0.35,0,23.0,53,4.5,7.7
2020-01-12 00:00:00,Victoria - Kolkata,47.11,65.03,33.54,0.67,12.54,6.71,75,51,0.75,0,32.9,86,11.5,8.6
2020-01-12 06:00:00,Victoria - Kolkata,96.4,136.59,54.18,0.85,31.01,11.88,189,37,0.52,0,29.0,52,5.4,0.8
2020-01-12 12:00:00,Victoria - Kolkata,99.61,147.86,53.79,0.88,24.77,11.01,156,41,0.58,0,25.5,87,7.2,0.7
2020-01-12 18:00:00,Victoria - Kolkata,93.37,139.2,61.45,0.87,27.36,16.49,197,36,0.85,0,27.1,49,1.9,9.9
2020-01-13 00:00:00,Victoria - Kolkata,68.4,92.39,33.87,0.6,23.15,11.39,89,49,0.46,0,29.6,57,11.0,2.5
2020-01-13 06:00:00,Victoria - Kolkata,87.06,130.24,64.73,0.92,19.49,8.33,197,36,0.62,0,26.1,56,9.4,7.0
2020-01-13 12:00:00,Victoria - Kolkata,70.66,106.14,45.91,0.73,15.38,9.94,127,44,0.84,0,23.8,70,7.9,7.5
2020-01-13 18:00:00,Victoria - Kolkata,68.91,84.87,54.32,0.94,19.18,9.71,188,37,0.75,0,33.2,64,7.2,7.4
2020-01-14 00:00:00,Victoria - Kolkata,70.14,118.95,31.96,0.65,18.09,3.6,91,49,0.86,0,30.1,79,3.5,2.1
2020-01-14 06:00:00,Victoria - Kolkata,85.2,121.27,53.44,0.9,24.88,7.99,170,39,0.67,0,20.8,43,10.0,4.8
2020-01-14 12:00:00,Victoria - Kolkata,82.13,125.82,45.58,0.8,33.35,10.62,144,42,0.51,0,15.9,78,4.3,6.9
2020-01-14 18:00:00,Victoria - Kolkata,72.58,100.68,55.92,0.92,25.51,11.72,177,38,0.68,0,22.7,77,9.8,7.2
2020-01-15 00:00:00,Victoria - Kolkata,59.29,87.95,36.26,0.65,29.35,11.17,77,50,0.39,0,27.7,52,5.5,5.7
2020-01-15 06:00:00,Victoria - Kolkata,76.18,118.79,52.22,0.87,26.52,13.03,185,37,0.69,0,29.8,61,11.3,6.8
2020-01-15 12:00:00,Victoria - Kolkata,81.12,117.99,41.91,0.76,23.08,7.27,144,42,0.21,0,27.7,69,9.1,2.8
2020-01-15 18:00:00,Victoria - Kolkata,75.37,115.55,53.23,0.93,21.68,9.53,179,38,0.54,0,29.4,74,2.7,9.3
2020-01-16 00:00:00,Victoria - Kolkata,57.99,87.68,32.29,0.7,22.51,7.48,72,51,0.29,0,32.3,52,4.1,5.8
2020-01-16 06:00:00,Victoria - Kolkata,72.34,112.93,53.4,0.85,16.55,13.09,171,39,0.2,0,23.1,88,11.3,6.6
2020-01-16 12:00:00,Victoria - Kolkata,92.37,137.7,44.79,0.67,23.3,6.29,136,43,0.34,0,17.8,89,2.7,1.6
2020-01-16 18:00:00,Victoria - Kolkata,69.86,115.21,49.66,0.87,24.75,10.37,181,38,0.55,0,21.6,52,12.0,7.6
2020-01-17 00:00:00,Victoria - Kolkata,42.9,65.25,34.44,0.58,15.53,10.06,72,51,0.22,0,34.3,71,8.7,7.8
2020-01-17 06:00:00,Victoria - Kolkata,76.17,104.98,56.98,0.92,26.18,8.9,184,37,0.91,0,33.5,46,11.5,1.3
2020-01-17 12:00:00,Victoria - Kolkata,58.62,91.23,42.83,0.82,23.7,9.73,141,43,0.29,0,22.4,67,6.8,9.1
2020-01-17 18:00:00,Victoria - Kolkata,72.85,95.59,55.87,0.8,25.69,12.74,190,37,0.53,0,16.3,41,7.0,5.0
2020-01-18 00:00:00,Victoria - Kolkata,43.38,58.63,31.25,0.64,13.4,13.83,80,50,0.26,0,29.2,82,11.5,7.6
2020-01-18 06:00:00,Victoria - Kolkata,71.84,132.85,65.67,0.87,32.04,8.44,182,38,0.25,0,32.8,46,11.7,1.9
2020-01-18 12:00:00,Victoria - Kolkata,66.0,92.71,54.31,0.78,22.77,7.88,145,42,0.64,0,17.0,56,7.7,5.1
2020-01-18 18:00:00,Victoria - Kolkata,84.63,132.2,53.81,0.82,24.74,10.75,181,38,0.74,0,33.9,49,2.0,1.0
2020-01-19 00:00:00,Victoria - Kolkata,54.61,82.81,31.14,0.68,16.99,10.07,95,48,0.23,0,15.5,87,9.9,8.2
2020-01-19 06:00:00,Victoria - Kolkata,80.32,124.5,57.25,0.9,25.16,16.73,183,38,0.63,0,20.7,51,6.8,7.2
2020-01-19 12:00:00,Victoria - Kolkata,66.96,106.82,48.1,0.83,21.76,5.33,135,43,0.39,0,27.1,72,6.0,8.4
2020-01-19 18:00:00,Victoria - Kolkata,53.63,73.14,63.95,0.9,17.14,11.99,190,37,0.39,0,26.2,54,10.9,7.6
2020-01-20 00:00:00,Victoria - Kolkata,62.06,87.26,42.39,0.7,16.54,8.36,86,49,0.76,0,30.8,46,4.2,0.4
2020-01-20 06:00:00,Victoria - Kolkata,91.48,139.24,57.3,0.95,22.81,10.96,185,37,0.81,1,25.9,68,10.0,1.1
2020-01-20 12:00:00,Victoria - Kolkata,79.65,124.83,50.97,0.77,25.72,14.71,127,44,0.21,0,27.1,51,10.3,2.5
2020-01-20 18:00:00,Victoria - Kolkata,90.53,132.63,58.92,0.88,21.89,6.53,190,37,0.31,0,17.4,66,7.1,0.4
2020-01-21 00:00:00,Victoria - Kolkata,68.98,109.91,28.5,0.68,20.95,9.94,71,51,0.52,0,29.7,53,9.3,0.3
2020-01-21 06:00:00,Victoria - Kolkata,95.94,142.73,57.04,0.84,24.83,8.8,187,37,0.69,0,28.8,53,10.7,1.0
2020-01-21 12:00:00,Victoria - Kolkata,80.69,113.73,55.61,0.81,25.6,13.08,149,42,0.48,0,28.9,84,9.8,4.6
2020-01-21 18:00:00,Victoria - Kolkata,99.83,155.44,64.1,0.81,26.83,13.29,194,36,0.84,0,31.7,83,3.8,1.0
2020-01-22 00:00:00,Victoria - Kolkata,62.56,86.17,26.72,0.58,18.7,14.13,70,51,0.36,0,26.1,52,8.9,5.8
2020-01-22 06:00:00,Victoria - Kolkata,88.93,139.5,53.8,0.89,15.73,13.6,171,39,0.31,0,17.6,89,8.1,3.0
2020-01-22 12:00:00,Victoria - Kolkata,69.41,99.97,41.34,0.79,21.94,4.12,148,42,0.56,0,34.8,58,9.5,9.7
