location_id,location_name,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,owner_name,provider,co,no2,pm25,pm10,o3,so2,traffic_volume,avg_speed_kmph,congestion_level,incident_flag,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),wind_speed_10m (km/h),wind_direction_10m (°),wind_gusts_10m (km/h),cloud_cover (%),surface_pressure (hPa),precipitation (mm),weather_code (wmo code)
6976,"Deonar, Mumbai - MPCB",2019-12-31T23:45:00Z,2020-01-01T05:30:00+05:30,Asia/Kolkata,19.0617,72.9187,IN,Maharashtra Pollution Control Board,CPCB,0.73,55.74,73.87,85.03,20.35,79.73,141,35,0.72,0,18.1,52,11.4,32.2,2.3,127,14.0,53,1000.0,5.7,1
6976,"Deonar, Mumbai - MPCB",2020-01-01T05:45:00Z,2020-01-01T11:30:00+05:30,Asia/Kolkata,19.0617,72.9187,IN,Maharashtra Pollution Control Board,CPCB,0.89,58.77,75.94,44.35,38.88,102.68,227,22,0.63,1,25.6,60,21.9,19.4,9.8,322,5.2,82,998.9,3.9,95
6976,"Deonar, Mumbai - MPCB",2020-01-01T11:45:00Z,2020-01-01T17:30:00+05:30,Asia/Kolkata,19.0617,72.9187,IN,Maharashtra Pollution Control Board,CPCB,0.58,72.62,95.19,93.08,75.92,26.29,224,26,0.29,1,23.5,83,15.4,16.0,5.9,170,4.1,3,1004.0,2.9,51
6976,"Deonar, Mumbai - MPCB",2020-01-01T17:45:00Z,2020-01-01T23:30:00+05:30,Asia/Kolkata,19.0617,72.9187,IN,Maharashtra Pollution Control Board,CPCB,1.12,63.7,23.31,41.39,27.51,65.14,159,35,0.57,0,32.9,72,17.9,15.5,6.0,252,7.6,23,1001.6,0.9,80
6976,"Deonar, Mumbai - MPCB",2020-01-01T23:45:00Z,2020-01-02T05:30:00+05:30,Asia/Kolkata,19.0617,72.9187,IN,Maharashtra Pollution Control Board,CPCB,1.34,23.74,27.66,63.73,53.13,23.51,140,38,0.98,0,26.6,81,13.1,20.3,2.1,25,5.4,91,1012.6,2.0,2
6976,"Deonar, Mumbai - MPCB",2020-01-02T05:45:00Z,2020-01-02T11:30:00+05:30,Asia/Kolkata,19.0617,72.9187,IN,Maharashtra Pollution Control Board,CPCB,1.18,62.4,66.33,27.9,64.07,98.25,190,33,0.6,0,19.1,77,18.2,18.8,4.9,7,5.5,26,1015.1,1.7,80
6976,"Deonar, Mumbai - MPCB",2020-01-02T11:45:00Z,2020-01-02T17:30:00+05:30,Asia/Kolkata,19.0617,72.9187,IN,Maharashtra Pollution Control Board,CPCB,1.43,35.65,94.71,23.06,21.97,102.43,225,27,0.86,0,17.7,51,18.2,28.9,2.2,341,6.6,27,1021.1,5.4,61
6976,"Deonar, Mumbai - MPCB",2020-01-02T17:45:00Z,2020-01-02T23:30:00+05:30,Asia/Kolkata,19.0617,72.9187,IN,Maharashtra Pollution Control Board,CPCB,0.79,61.48,110.95,37.93,15.93,47.07,161,32,0.73,0,16.6,44,18.8,25.2,7.8,140,12.7,21,1003.3,4.5,95
6976,"Deonar, Mumbai - MPCB",2020-01-02T23:45:00Z,2020-01-03T05:30:00+05:30,Asia/Kolkata,19.0617,72.9187,IN,Maharashtra Pollution Control Board,CPCB,0.85,36.9,53.63,42.68,13.11,90.29,130,41,0.16,0,19.4,70,13.8,15.7,4.2,271,3.7,85,1022.3,2.8,51
6976,"Deonar, Mumbai - MPCB",2020-01-03T05:45:00Z,2020-01-03T11:30:00+05:30,Asia/Kolkata,19.0617,72.9187,IN,Maharashtra Pollution Control Board,CPCB,0.8,68.54,81.77,118.76,25.41,33.44,223,25,0.95,0,33.7,52,23.1,27.7,5.2,255,2.5,10,992.1,4.2,1
